epoch,height,modelLabel,modelId,status,capApplies,capFactor,previousEpochRootTotalWeight,rootTotalWeight,subgroupRawWeight,weightScaleFactor,rawConsensusWeight,capWeight,cappedConsensusWeight,countedWeight,scaleDelta,clippedWeight,capUtilization,capHeadroom,capLimitFromPreviousEpoch,appliedScale,pressureRatio,participantCount,nodeCount,source,paramsSource,paramsError
255,3951450,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1028204,1185640,391827,1.262086,494519,771153,494519,494519,102692,0,0.641272,276634,771153,1.0,0.641272,14,47,archive_rpc,archive_rpc_params,
255,3951450,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1028204,1185640,1964438,0.3593,705822,,705822,705822,-1258616,0,,,771153,1.0,0.0,59,251,archive_rpc,archive_rpc_params,
256,3966841,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1185640,1190212,415444,1.262086,524325,889230,524325,524325,108881,0,0.589639,364905,889230,1.0,0.589639,16,49,archive_rpc,archive_rpc_params,
256,3966841,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1185640,1190212,1893985,0.3593,680508,,680508,680508,-1213477,0,,,889230,1.0,0.0,56,246,archive_rpc,archive_rpc_params,
257,3982232,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1190212,1094308,393882,1.262086,497112,892659,497112,497112,103230,0,0.556889,395547,892659,1.0,0.556889,19,48,archive_rpc,archive_rpc_params,
257,3982232,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1190212,1094308,1711362,0.3593,614892,,614892,614892,-1096470,0,,,892659,1.0,0.0,55,228,archive_rpc,archive_rpc_params,
258,3997623,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1094308,1140755,430800,1.262086,543706,820731,543706,543706,112906,0,0.662466,277025,820731,1.0,0.662466,20,52,archive_rpc,archive_rpc_params,
258,3997623,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1094308,1140755,1707378,0.3593,613460,,613460,613460,-1093918,0,,,820731,1.0,0.0,55,225,archive_rpc,archive_rpc_params,
259,4013014,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1140755,1013967,353450,1.262086,446084,855566,446084,446084,92634,0,0.521391,409482,855566,1.0,0.521391,16,42,archive_rpc,archive_rpc_params,
259,4013014,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1140755,1013967,1615781,0.3593,580550,,580550,580550,-1035231,0,,,855566,1.0,0.0,52,219,archive_rpc,archive_rpc_params,
260,4028405,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1013967,1066321,427875,1.262086,540014,760475,540014,540014,112139,0,0.710101,220461,760475,1.0,0.710101,18,49,archive_rpc,archive_rpc_params,
260,4028405,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1013967,1066321,1497397,0.3593,538014,,538014,538014,-959383,0,,,760475,1.0,0.0,52,214,archive_rpc,archive_rpc_params,
261,4043796,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1066321,986278,376518,1.262086,475197,799740,475197,475197,98679,0,0.594189,324543,799740,1.0,0.594189,17,45,archive_rpc,archive_rpc_params,
261,4043796,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1066321,986278,1481729,0.3593,532385,,532385,532385,-949344,0,,,799740,1.0,0.0,48,208,archive_rpc,archive_rpc_params,
262,4059187,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,986278,1096187,477069,1.262086,602101,739708,602101,602101,125032,0,0.813971,137607,739708,1.0,0.813971,21,57,archive_rpc,archive_rpc_params,
262,4059187,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,986278,1096187,1434238,0.3593,515321,,515321,515321,-918917,0,,,739708,1.0,0.0,46,204,archive_rpc,archive_rpc_params,
263,4074578,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1096187,1045290,482809,1.262086,609346,822140,609346,609346,126537,0,0.741171,212794,822140,1.0,0.741171,23,58,archive_rpc,archive_rpc_params,
263,4074578,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1096187,1045290,1248075,0.3593,448433,,448433,448433,-799642,0,,,822140,1.0,0.0,45,191,archive_rpc,archive_rpc_params,
264,4089969,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,1045290,1010191,461069,1.262086,581908,783967,581908,581908,120839,0,0.742261,202059,783967,1.0,0.742261,23,59,archive_rpc,archive_rpc_params,
264,4089969,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,1045290,1010191,1254596,0.3593,450776,,450776,450776,-803820,0,,,783967,1.0,0.0,44,192,archive_rpc,archive_rpc_params,
