address,label,inference_url,status,epochs_completed,total_gonka,attack_e265_e266_gonka,cap_e267_e276_gonka,epochs,onchain_output_gonka,matches_onchain_output
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,http://135.181.56.61:8000,http://135.181.56.61:8000,ACTIVE,22,158541.879456,18493.620536,140048.258919,"e266,e267,e268,e269,e270,e271,e272,e273,e274,e275,e276",158541.879456,true
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,http://54.37.131.156:8000,http://54.37.131.156:8000,INACTIVE,0,101147.807219,47784.372055,53363.435164,"e265,e266,e267",101147.807219,true
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,http://65.21.232.177:8000,http://65.21.232.177:8000,ACTIVE,3,96601.320933,0.000000,96601.320933,"e270,e271,e272,e273,e274,e275,e276",96601.320933,true
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,http://57.128.30.101:8000,http://57.128.30.101:8000,ACTIVE,10,79247.555227,26783.899675,52463.655552,"e266,e267,e268,e269,e270",79247.555227,true
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,http://89.169.97.113:8000,http://89.169.97.113:8000,ACTIVE,9,73073.708453,29956.256306,43117.452148,"e266,e267,e269,e270,e271,e273,e275,e276",73073.708453,true
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,"ancapex | Mine from $1, no losses from node failures",http://89.149.242.149:8000,ACTIVE,12,66487.744752,11068.294374,55419.450377,"e266,e267,e268,e269,e270,e271,e272,e273,e274,e275",66487.744752,true
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,http://54.38.118.143:8000,http://54.38.118.143:8000,ACTIVE,21,52290.195676,0.000000,52290.195676,"e269,e270,e271,e272,e273,e274,e275,e276",52290.195676,true
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,http://178.104.95.5:8000,http://178.104.95.5:8000,ACTIVE,1,39809.676543,39809.676543,0.000000,"e265,e266",39809.676543,true
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,http://95.217.121.189:8000,http://95.217.121.189:8000,ACTIVE,8,33750.579636,8543.711791,25206.867845,"e266,e267,e268,e269",33750.579636,true
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,http://178.105.170.135:8000,http://178.105.170.135:8000,ACTIVE,11,20610.390028,0.000000,20610.390027,"e268,e269,e270,e271,e273,e274,e275,e276",20610.390028,true
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,http://136.243.110.227:8000,http://136.243.110.227:8000,INACTIVE,0,18234.887511,0.000000,18234.887511,"e267,e268,e269,e270,e271",18234.887511,true
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,http://94.130.152.246:8000,http://94.130.152.246:8000,ACTIVE,5,17630.158097,1885.582278,15744.575819,"e266,e267,e270,e275,e276",17630.158097,true
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,http://195.201.192.170:8000,http://195.201.192.170:8000,INACTIVE,0,13958.367773,4251.091850,9707.275923,"e265,e267,e273,e275",13958.367773,true
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,http://35.89.168.230:8000,http://35.89.168.230:8000,ACTIVE,12,12612.234866,7414.493026,5197.741840,"e266,e275",12612.234866,true
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,http://178.105.172.102:8000,http://178.105.172.102:8000,ACTIVE,6,11688.555563,0.000000,11688.555563,"e268,e269,e270,e271,e273",11688.555563,true
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,http://204.12.168.89:8000,http://204.12.168.89:8000,INACTIVE,0,11366.419254,4122.713795,7243.705459,"e266,e267,e268",11366.419254,true
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,http://178.105.174.27:8000,http://178.105.174.27:8000,INACTIVE,0,11262.520198,0.000000,11262.520198,"e268,e269,e270,e271,e273",11262.520198,true
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,http://network000.kaitaku.ai:8000,http://network000.kaitaku.ai:8000,ACTIVE,11,11021.183080,0.000000,11021.183081,"e267,e269,e270,e273,e276",11021.183080,true
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,http://88.99.213.222:8000,http://88.99.213.222:8000,INACTIVE,0,10934.181496,0.000000,10934.181497,"e270,e271,e273,e275,e276",10934.181496,true
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,http://95.217.35.48:8000,http://95.217.35.48:8000,ACTIVE,2,10456.612261,2162.560466,8294.051796,"e266,e267,e272,e273",10456.612261,true
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,http://94.130.143.155:8000,http://94.130.143.155:8000,ACTIVE,3,9768.694504,4293.161910,5475.532593,"e266,e267,e272,e273",9768.694504,true
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,http://88.198.4.29:8000,http://88.198.4.29:8000,ACTIVE,1,9423.072516,2013.418365,7409.654151,"e266,e267,e275",9423.072516,true
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,http://136.243.111.105:8000,http://136.243.111.105:8000,INACTIVE,0,8441.669468,0.000000,8441.669468,"e267,e269,e270,e271,e273",8441.669468,true
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,http://195.201.83.167:8000,http://195.201.83.167:8000,ACTIVE,3,6820.652574,2024.071372,4796.581202,"e266,e267,e273",6820.652574,true
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,http://138.201.121.253:8000,http://138.201.121.253:8000,INACTIVE,0,6618.057561,0.000000,6618.057559,"e267,e271,e274,e275",6618.057561,true
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,http://57.131.17.61:8000,http://57.131.17.61:8000,INACTIVE,0,5645.801437,0.000000,5645.801437,"e275,e276",5645.801437,true
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,https://gonka.top,http://109.206.182.166:8000,ACTIVE,3,5511.598439,0.000000,5511.598439,"e269,e270,e271",5511.598439,true
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,http://95.217.122.154:8000,http://95.217.122.154:8000,ACTIVE,0,4673.802242,2529.450035,2144.352208,"e266,e267,e270",4673.802242,true
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,http://109.206.182.132:8000,http://109.206.182.132:8000,ACTIVE,17,4444.392151,0.000000,4444.392150,"e272,e273,e274",4444.392151,true
gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,http://159.69.112.72:8000,http://159.69.112.72:8000,ACTIVE,1,4167.200641,0.000000,4167.200640,"e273,e275",4167.200641,true
gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,http://178.105.166.7:8000,http://178.105.166.7:8000,ACTIVE,3,3396.492512,0.000000,3396.492512,"e268,e269",3396.492512,true
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,gonka-3,https://node3.gonka.ai,ACTIVE,112,3018.840187,0.000000,3018.840188,"e267,e269,e270,e271,e272,e275,e276",3018.840187,true
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,http://95.217.47.126:8000,http://95.217.47.126:8000,INACTIVE,0,2731.396085,0.000000,2731.396085,e267,2731.396085,true
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,http://94.130.64.22:8000,http://94.130.64.22:8000,INACTIVE,0,2602.055674,0.000000,2602.055674,e267,2602.055674,true
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,http://65.108.198.21:8000,http://65.108.198.21:8000,ACTIVE,6,2392.222959,0.000000,2392.222960,"e267,e271,e272",2392.222959,true
