source_type,value,confidence,is_attribution_proof,addresses,address_count,total_compensation_gonka,total_voting_power,vote_power_by_option,source_file
participant_inference_url,http://178.105.170.135:8000,medium,False,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6,2,20610.390028,0,,data/participants_by_address.json
validator_identity,673C81B66A67ED67,high,True,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5 gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2,4044.099545,0,,data/validators.json
validator_website,https://gonka.ai,medium,False,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5 gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2,4044.099545,0,,data/validators.json
participant_inference_url,http://135.181.56.61:8000,medium,False,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,1,158541.879456,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1qa90tgczc0k5dvk4l5nvlf5y6phgm6mgk2pw9p,high,False,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,1,158541.879456,0,,data/validators.json
participant_inference_url,http://54.37.131.156:8000,medium,False,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,1,101147.807219,0,,data/participants_by_address.json
participant_inference_url,http://65.21.232.177:8000,medium,False,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,1,96601.320933,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1uhqpup9fev3zahlx6n326lp0krznc6uswthag3,high,False,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,1,96601.320933,0,,data/validators.json
participant_inference_url,http://57.128.30.101:8000,medium,False,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,1,79247.555227,0,,data/participants_by_address.json
participant_inference_url,http://89.169.97.113:8000,medium,False,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,1,73073.708453,92840,yes:92840.0,data/participants_by_address.json
validator_moniker,gonkavaloper1q5xt54wncgzk7dxv9x64uln68455g83wq96ml9,high,False,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,1,73073.708453,92840,yes:92840.0,data/validators.json
participant_inference_url,http://89.149.242.149:8000,medium,False,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,66487.744752,28865,no_with_veto:28865.0,data/participants_by_address.json
validator_identity,B22258DF68546529,high,True,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,66487.744752,28865,no_with_veto:28865.0,data/validators.json
validator_moniker,"ancapex | Mine from $1, no losses from node failures",high,True,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,66487.744752,28865,no_with_veto:28865.0,data/validators.json
validator_website,https://ancapex.ai,medium,False,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,66487.744752,28865,no_with_veto:28865.0,data/validators.json
participant_inference_url,http://54.38.118.143:8000,medium,False,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,1,52290.195676,86433,yes:86433.0,data/participants_by_address.json
validator_moniker,gonkavaloper1gvrrhjmy4w4mayvs2s5l23edj8ertcmt32aj4w,high,False,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,1,52290.195676,86433,yes:86433.0,data/validators.json
participant_inference_url,http://178.104.95.5:8000,medium,False,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,1,39809.676543,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1j7x6dv42xehe9e5au4ku3wvzwtqlegfjtla99h,high,False,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,1,39809.676543,0,,data/validators.json
participant_inference_url,http://95.217.121.189:8000,medium,False,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,1,33750.579636,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1jrgm47v5eg876udmzg6j6glqcsd5x0vkxcjx2t,high,False,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,1,33750.579636,0,,data/validators.json
validator_moniker,gonkavaloper10079cnl3nuh2k82mhkm04dj0slhtw9kmwelf23,high,False,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1,20610.390028,0,,data/validators.json
participant_inference_url,http://136.243.110.227:8000,medium,False,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1,18234.887511,0,,data/participants_by_address.json
participant_inference_url,http://94.130.152.246:8000,medium,False,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,1,17630.158097,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1yal0ysgzc860zt3y8cds8656tnueusgy8f6tpr,high,False,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,1,17630.158097,0,,data/validators.json
participant_inference_url,http://195.201.192.170:8000,medium,False,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,1,13958.367773,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1830lqug50lse998x2lakk4pj5ypfumz5aap9cf,high,False,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,1,13958.367773,0,,data/validators.json
participant_inference_url,http://35.89.168.230:8000,medium,False,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,1,12612.234866,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1ujnc662v6g69jm6fgxnr79a2m7ehzeutn55dxg,high,False,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,1,12612.234866,0,,data/validators.json
participant_inference_url,http://178.105.172.102:8000,medium,False,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1,11688.555563,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1007g0ut3u4wjkay9hegqfev4pj90qgexjs8u0r,high,False,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1,11688.555563,0,,data/validators.json
participant_inference_url,http://204.12.168.89:8000,medium,False,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,1,11366.419254,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuq36d8ug,high,False,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,1,11366.419254,0,,data/validators.json
participant_inference_url,http://178.105.174.27:8000,medium,False,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,1,11262.520198,57838,yes:57838.0,data/participants_by_address.json
participant_inference_url,http://network000.kaitaku.ai:8000,medium,False,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,1,11021.18308,25278,no_with_veto:25278.0,data/participants_by_address.json
validator_moniker,gonkavaloper168rtjfkszuhcggg4dfyse4yh7xn9zwfgrn8588,high,False,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,1,11021.18308,25278,no_with_veto:25278.0,data/validators.json
participant_inference_url,http://88.99.213.222:8000,medium,False,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1,10934.181496,0,,data/participants_by_address.json
participant_inference_url,http://95.217.35.48:8000,medium,False,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,1,10456.612261,0,,data/participants_by_address.json
participant_inference_url,http://94.130.143.155:8000,medium,False,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,1,9768.694504,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1xwkesaxvdadh9wt9yyladu0r260s7whkrc8v6a,high,False,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,1,9768.694504,0,,data/validators.json
participant_inference_url,http://88.198.4.29:8000,medium,False,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,1,9423.072516,0,,data/participants_by_address.json
validator_moniker,gonkavaloper125n6kr5gvdup0lndfkps7t6rd6592pantrekyv,high,False,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,1,9423.072516,0,,data/validators.json
participant_inference_url,http://136.243.111.105:8000,medium,False,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,1,8441.669468,0,,data/participants_by_address.json
participant_inference_url,http://195.201.83.167:8000,medium,False,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,1,6820.652574,0,,data/participants_by_address.json
validator_moniker,gonkavaloper18xeqnspxpg2vncufnjne485rkaagwvz7jh45cq,high,False,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,1,6820.652574,0,,data/validators.json
participant_inference_url,http://138.201.121.253:8000,medium,False,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,1,6618.057561,0,,data/participants_by_address.json
participant_inference_url,http://57.131.17.61:8000,medium,False,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,1,5645.801437,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1scskt6wpnjnumsah6kjphmdu87vjgvcx8nyy3p,high,False,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,1,5645.801437,0,,data/validators.json
participant_inference_url,http://109.206.182.166:8000,medium,False,gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,1,5511.598439,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1wvv656pt2d8x2khcvytqeessck5uzjnx7svq7h,high,False,gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,1,5511.598439,0,,data/validators.json
validator_website,https://gonka.top,medium,False,gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,1,5511.598439,0,,data/validators.json
