rank,label,addresses,roles,total_gonka,overall_priority,confidence,identity_score,benefit_score,governance_score,coordination_score,caveats
1,"ancapex | Mine from $1, no losses from node failures",gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,epoch_commit_participant recipient voter,66487.744752,58.948,high,25,13.298,16,4.65,Address both received compensation and voted.
2,http://178.105.170.135:8000,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau gonka16r08lhm50zwjddmslfw2344z67r70vqul0dus6 gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,epoch_commit_participant recipient voter,26121.988467,50.224,medium,14,5.224,16,15,No strict public owner proof. | Address both received compensation and voted.
3,http://135.181.56.61:8000,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,epoch_commit_participant recipient,158541.879456,48.408,medium,14,31.708,0,2.7,No strict public owner proof.
4,http://89.169.97.113:8000,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,epoch_commit_participant operator recipient voter,73073.708453,47.615,medium,14,14.615,16,3.0,No strict public owner proof. | Address both received compensation and voted.
5,http://54.38.118.143:8000,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,epoch_commit_participant recipient voter,52290.195676,44.208,medium,14,10.458,16,3.75,No strict public owner proof. | Address both received compensation and voted.
6,gonka-3,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5 gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,epoch_commit_participant recipient,4044.099545,38.009,high,25,0.809,0,12.2,
7,http://54.37.131.156:8000,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,epoch_commit_participant recipient,101147.807219,37.23,medium,14,20.23,0,3.0,No strict public owner proof.
8,Hyperfusion,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,epoch_commit_participant voter,0,35.85,high,25,0.0,8,2.85,
9,http://65.21.232.177:8000,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,epoch_commit_participant recipient,96601.320933,35.42,medium,14,19.32,0,2.1,No strict public owner proof.
10,http://network000.kaitaku.ai:8000,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,epoch_commit_participant recipient voter,11021.18308,34.904,medium,14,2.204,16,2.7,No strict public owner proof. | Address both received compensation and voted.
11,http://88.99.213.222:8000,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,epoch_commit_participant recipient voter,10934.181496,34.437,medium,14,2.187,16,2.25,No strict public owner proof. | Address both received compensation and voted.
12,http://178.105.174.27:8000,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,epoch_commit_participant recipient voter,11262.520198,34.053,medium,14,2.253,16,1.8,No strict public owner proof. | Address both received compensation and voted.
13,http://65.108.198.21:8000,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,epoch_commit_participant recipient voter,2392.222959,33.928,medium,14,0.478,16,3.45,No strict public owner proof. | Address both received compensation and voted.
14,http://148.113.47.235:8000,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,delegator epoch_commit_participant recipient voter,1805.142498,33.511,medium,14,0.361,16,3.15,No strict public owner proof. | Address both received compensation and voted.
15,http://148.113.47.71:8000,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,delegator epoch_commit_participant recipient voter,1575.513417,33.465,medium,14,0.315,16,3.15,No strict public owner proof. | Address both received compensation and voted.
16,asd.gnk,gonka1q9f3wphjnf633fevej30y4aw3nnw87hl0r7qe4,voter,0,33.15,high,25,0.0,8,0.15,
17,http://57.131.17.61:8000,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,epoch_commit_participant recipient voter,5645.801437,32.929,medium,14,1.129,16,1.8,No strict public owner proof. | Address both received compensation and voted.
18,http://20.163.111.183:8000,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,delegator epoch_commit_participant recipient voter,113.864834,32.423,medium,14,0.023,16,2.4,No strict public owner proof. | Address both received compensation and voted.
19,http://20.171.77.105:8000,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,delegator epoch_commit_participant recipient voter,108.366532,32.272,medium,14,0.022,16,2.25,No strict public owner proof. | Address both received compensation and voted.
20,Unknown public owner,gonka10d07y265gmmuvt4z0w9aw880jnsr700j2h5m33,message_sender,0,32.15,medium,14,0.0,18,0.15,No strict public owner proof.
21,Unknown public owner,gonka1nvcwl2c7jxj2h47c56y8dmcmf0tynt5dplzngy,proposer,0,32.15,medium,14,0.0,18,0.15,No strict public owner proof.
22,http://69.48.159.137:8000/,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,delegator epoch_commit_participant recipient voter,30.990429,31.806,medium,14,0.006,16,1.8,No strict public owner proof. | Address both received compensation and voted.
23,http://57.128.30.101:8000,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,epoch_commit_participant recipient,79247.555227,31.8,medium,14,15.85,0,1.95,No strict public owner proof.
24,Formula x AI,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,delegator epoch_commit_participant recipient,1166.439756,28.683,high,25,0.233,0,3.45,
25,http://95.216.112.248:8000,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,epoch_commit_participant voter,0,24.1,medium,14,0.0,8,2.1,No strict public owner proof.
26,http://network002.kaitaku.ai:8000,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,epoch_commit_participant voter,0,24.1,medium,14,0.0,8,2.1,No strict public owner proof.
27,http://178.104.95.5:8000,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,epoch_commit_participant recipient,39809.676543,23.762,medium,14,7.962,0,1.8,No strict public owner proof.
28,http://20.88.58.210:8000,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,epoch_commit_participant voter,0,23.65,medium,14,0.0,8,1.65,No strict public owner proof.
29,http://84.32.59.212:8000,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,epoch_commit_participant voter,0,23.5,medium,14,0.0,8,1.5,No strict public owner proof.
30,http://78.46.89.87:8000,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,voter,0,23.05,medium,14,0.0,8,1.05,No strict public owner proof.
31,http://84.32.185.226:8000,gonka1m58jds005cttwq2vt0p7yk6vy2aqg254cqqppf,voter,0,23.05,medium,14,0.0,8,1.05,No strict public owner proof.
32,http://94.237.52.191:8000,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,voter,0,23.05,medium,14,0.0,8,1.05,No strict public owner proof.
33,http://95.217.121.189:8000,gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,epoch_commit_participant recipient,33750.579636,22.4,medium,14,6.75,0,1.65,No strict public owner proof.
34,Unknown public owner,gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,voter,0,22.15,medium,14,0.0,8,0.15,No strict public owner proof.
35,http://94.130.152.246:8000,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,epoch_commit_participant recipient,17630.158097,19.926,medium,14,3.526,0,2.4,No strict public owner proof.
36,http://136.243.110.227:8000,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,epoch_commit_participant recipient,18234.887511,19.447,medium,14,3.647,0,1.8,No strict public owner proof.
37,http://35.89.168.230:8000,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,epoch_commit_participant recipient,12612.234866,19.222,medium,14,2.522,0,2.7,No strict public owner proof.
38,http://195.201.192.170:8000,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,epoch_commit_participant recipient,13958.367773,18.592,medium,14,2.792,0,1.8,No strict public owner proof.
39,http://178.105.172.102:8000,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,epoch_commit_participant recipient,11688.555563,18.288,medium,14,2.338,0,1.95,No strict public owner proof.
