rank,cluster_id,cluster_label,address,label,entered_e287,voted_during_e287,exited_after_e287,full_enter_vote_exit,e287_weight,prev_max_weight,next_max_weight,vote_option,vote_height,governance_voting_power,governance_voting_power_source,is_recipient,total_compensation_gonka,status
,single-address timing lead,,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,Votkon · gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,False,False,True,False,92840,70871,0,yes,4406965,92840,archive_staking_delegations_chain_like,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,False,False,False,False,86433,70043,61537,yes,4401130,86433,archive_staking_delegations_chain_like,True,0,context
,single-address timing lead,,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,False,False,True,False,57838,37261,0,yes,4414864,57838,archive_staking_delegations_chain_like,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,False,False,False,False,31217,36458,29657,yes,4406961,31217,archive_staking_delegations_chain_like,True,0,context
,single-address timing lead,,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,False,False,False,False,31063,40669,44808,no_with_veto,4412030,31063,archive_staking_delegations_chain_like,False,0,context
,single-address timing lead,,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,"ancapex | Mine from $1, no losses from node failures · gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09",False,True,False,False,28865,34599,29166,no_with_veto,4430015,28865,archive_staking_delegations_chain_like,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,False,False,False,False,25278,39406,40254,no_with_veto,4412026,25278,archive_staking_delegations_chain_like,True,0,context
,single-address timing lead,,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,gonka1nmn039cgpkhmkzekpkfz3nkv9tcjckpn46jyrj,False,True,False,False,20647,2725,9807,yes,4430417,20647,archive_staking_delegations_chain_like,False,0,partial_operational_timing_signal
,single-address timing lead,,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,gonka1kvmerzu64094dt9t62ea0cp75larh39ulzldum,True,True,False,False,113284,0,126624,no_with_veto,4429647,0,archive_staking_no_voting_power,False,0,partial_operational_timing_signal
,single-address timing lead,,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,False,False,False,False,23621,38345,53975,did_not_vote,,0,,True,0,context
,single-address timing lead,,gonka1jfv9n2af9y8xgnn6834mnp924vkpucmvchsq8d,Unknown public owner,False,False,False,False,21252,21453,20925,did_not_vote,,0,,False,0,context
,single-address timing lead,,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,False,False,False,False,20495,20458,20301,did_not_vote,,0,,True,0,context
,single-address timing lead,,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,True,False,False,False,8333,0,8291,did_not_vote,,0,,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,True,False,False,False,8230,0,9283,did_not_vote,,0,,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,False,True,False,False,4420,347,326,no_with_veto,4430201,0,archive_staking_no_voting_power,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,False,True,False,False,4295,365,373,no_with_veto,4430200,0,archive_staking_no_voting_power,True,0,partial_operational_timing_signal
,single-address timing lead,,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,False,True,False,False,645,312,318,no_with_veto,4430202,0,archive_staking_no_voting_power,False,0,partial_operational_timing_signal
